Price,Close,High,Low,Open,Volume
Ticker,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS
Date,,,,,
2010-01-04,218.59310913085938,221.76378090832247,207.68887182635854,221.76378090832247,76646086
2010-01-05,217.61749267578125,233.71474007258507,216.54028253029978,233.71474007258507,21392825
2010-01-06,221.13369750976562,222.45481176562942,217.60733879271046,219.4873823501729,23691760
2010-01-07,224.8023223876953,226.62139340272083,219.1012188293531,221.13370761104912,26197920
2010-01-08,224.21287536621094,226.37747120630857,222.75965389203574,225.19862652115629,15110149
2010-01-11,219.81259155273438,233.67410930703483,213.41028925193103,230.62536937487172,188649642
2010-01-12,220.39183044433594,231.15381059593588,218.89796045896998,222.5564264264373,32790509
2010-01-13,221.25564575195312,221.94668241821145,217.19068188685603,221.1337004992421,15360176
2010-01-14,227.98318481445312,228.61323534881137,220.7272244829172,220.7272244829172,24545629
2010-01-15,225.7576141357422,231.47904258194382,224.59910692523357,228.8164894243684,18766617
2010-01-18,223.47105407714844,226.91610246583943,221.93652203173963,224.9954104505233,14172193
2010-01-19,220.52395629882812,224.80231070383877,220.04631026671518,223.5726689615741,13064666
2010-01-20,218.9995880126953,222.9832549930597,217.88172940830188,222.556433046322,19331024
2010-01-21,214.2334442138672,218.89798615646887,213.4611106543877,218.49148838263375,18611321
2010-01-22,214.1927490234375,217.67845887160658,209.2436692170962,211.58102073060584,39869565
2010-01-25,211.79443359375,214.30454096032943,210.7070613996043,213.33911400644803,13393277
2010-01-27,208.84738159179688,213.4103025342661,207.31286299313328,210.158333874491,24843485
2010-01-28,210.7985382080078,212.68874386266097,208.3290790454105,211.37779171595196,33223459
2010-01-29,212.63795471191406,213.77613763375646,206.92668875709745,209.93475331308366,23333042
2010-02-01,212.47531127929688,214.4264892985016,210.4733091782357,210.86964475730426,12132865
2010-02-02,208.79656982421875,214.7009157625331,208.14616795559186,213.81678547405485,17248998
2010-02-03,210.1481475830078,213.08507707379275,209.56888051408248,209.56888051408248,15052266
2010-02-04,207.14007568359375,210.9712975793556,206.09335179623542,210.9712975793556,11974603
2010-02-05,199.5284423828125,204.82304801268222,198.16669325955817,198.16669325955817,29882876
2010-02-08,202.0995330810547,204.1320081977571,198.16669020266932,200.19916531937173,25894932
2010-02-09,201.87594604492188,202.8413730477967,199.73168785787988,201.9775670836325,14292031
2010-02-10,200.21949768066406,203.22756206127536,199.5894200574825,203.22756206127536,18261247
2010-02-11,206.32713317871094,207.27223620270277,200.9105676930561,201.06301285559894,23450102
2010-02-15,205.28036499023438,208.7355891696493,204.79257039129575,208.7355891696493,13498617
2010-02-16,206.85552978515625,207.5160801158339,204.26411184756114,205.30067359557432,10068256
2010-02-17,209.86361694335938,210.93066512022887,207.7295205896204,208.32909836159155,15630122
2010-02-18,202.8007354736328,211.04244636976483,202.23164405886888,209.3453206623247,19834114
2010-02-19,199.83334350585938,202.23166827260732,198.60368802181014,202.23166827260732,17754534
2010-02-22,198.7662811279297,203.24789150022218,197.15045217737847,202.29262650378732,12692045
2010-02-23,198.2378387451172,199.79268150367918,197.15045281381083,197.96344834416468,12976934
2010-02-24,198.93902587890625,200.3414369810632,196.46956668550627,197.1504412441155,12487589
2010-02-25,195.748046875,200.19918463378352,194.94522699563592,199.20327118781512,18954063
2010-02-26,198.96951293945312,202.23164341906428,196.3882705885718,196.94719989715313,22579233
2010-03-02,199.83334350585938,203.04466385821945,199.06099634277143,200.19919287614127,18210596
2010-03-03,208.28842163085938,208.9388098402285,200.80889616908652,200.80889616908652,26623966
2010-03-04,206.09332275390625,211.37776553553866,204.87384326375454,211.37776553553866,20781218
2010-03-05,205.2397003173828,208.53231699135682,204.28443540479657,207.71933510255045,11774505
2010-03-08,204.08123779296875,208.73561812188404,203.6544157637506,207.55677309652793,11941298
2010-03-09,201.2865447998047,205.64620977928894,200.8190744208543,204.56899955705282,17459521
2010-03-10,205.02630615234375,207.08926763856292,201.07313895661207,202.23164600612364,24807175
2010-03-11,206.59130859375,207.3128451410097,204.67061659260634,205.28035642394457,14583772
2010-03-12,207.6380615234375,209.95508948767406,206.09338073646796,206.2966364203846,22333253
2010-03-15,208.94898986816406,209.7416611659876,205.9104391724454,207.71934807039182,18131701
2010-03-16,217.0585479736328,217.8410570512506,209.14205253935506,209.75179229587386,33998717
2010-03-17,217.41429138183594,220.0158582987107,216.6216199960582,218.4508533062748,21599472
2010-03-18,218.8878173828125,219.83292026872806,216.2760885992673,218.28823962926478,15292424
2010-03-19,221.95684814453125,222.86128896250688,217.50571094440377,219.26380919579285,19737747
2010-03-22,218.278076171875,223.3694263444037,215.84926529062923,215.84926529062923,20468483
2010-03-23,221.82473754882812,222.34301844130812,218.88780796892047,219.09105005712337,20005544
2010-03-25,221.8348846435547,222.96291885944416,218.9792520921446,222.7596632174312,22967888
2010-03-26,223.6641387939453,225.8084107205558,222.58692856207844,222.96294000303212,18075516
2010-03-29,222.21087646484375,225.59495167914162,221.74340616724356,224.32464812309135,20249784
2010-03-30,221.1641845703125,224.73117814888647,220.11746069336255,222.75967564646135,18938795
2010-03-31,218.33905029296875,222.55644591531754,217.73947253903802,222.1296239438995,21647708
2010-04-01,221.95684814453125,223.26778668755813,218.89795988649053,219.10120196523516,12519976
2010-04-05,228.8367919921875,229.59899056711905,222.86131146305416,222.86131146305416,19912935
2010-04-06,228.28802490234375,230.27985162828193,227.67827150527333,229.26361405658133,12481837
2010-04-07,229.60911560058594,233.674092845396,228.2676907476292,228.65385069670225,20218574
2010-04-08,224.90396118164062,230.99123839999768,223.87756145078205,230.27986392129446,14723428
2010-04-09,228.5928955078125,229.87337497001678,225.23930598452034,225.23930598452034,16826518
2010-04-12,229.13150024414062,232.71884530466056,228.17623526898464,232.71884530466056,12699784
2010-04-13,227.82054138183594,230.48309413589436,225.86937663736532,229.26361447465487,13971281
2010-04-15,221.68246459960938,230.66600897297695,220.94060385421437,228.65385806117263,24286918
2010-04-16,220.37152099609375,222.5564413324608,217.70898174143855,220.74753243550057,18193722
2010-04-19,215.80862426757812,219.46707708822223,213.61354172114082,219.46707708822223,16389189
2010-04-20,216.0931396484375,219.45689105345485,214.29439296586693,217.44474018637152,16748550
2010-04-21,214.24359130859375,218.2272583590216,213.03427374453653,217.47523549498064,19187549
2010-04-22,218.6439208984375,222.33285983021955,213.42044990636225,213.5119088474906,25598349
2010-04-23,221.17433166503906,222.7596605293131,219.50769240440403,219.50769240440403,23235165
2010-04-26,217.7292938232422,223.12552033205765,216.15411342084116,219.5077027396491,16652152
2010-04-27,215.69680786132812,217.06873263171855,214.42651770055218,216.05249507607283,13970196
2010-04-28,206.75392150878906,214.21310985390085,205.68685981519405,214.21310985390085,40110291
2010-04-29,210.37168884277344,211.35743995848281,207.14004514998285,208.12579626569223,23447044
2010-04-30,210.0770263671875,212.8411866984806,209.34532768967017,211.37780291100904,15821019
2010-05-03,208.0750274658203,209.8737743086741,206.92668247360976,208.5323357552312,12535244
2010-05-04,207.5465545654297,211.17453404367689,205.9917120322786,208.16645644448442,17348783
2010-05-05,207.4449462890625,208.03436189396623,203.91860119617002,205.2803502796352,14976570
2010-05-06,204.84341430664062,207.9835864053887,204.0609050246223,207.27222543156117,23863448
2010-05-07,209.9144287109375,215.44277676114555,198.36995155998227,198.36995155998227,72063684
2010-05-10,221.00865173339844,221.5410038413194,212.94144455719166,215.19371398910917,38050844
2010-05-11,218.633544921875,222.97427387230752,217.7223998299384,222.97427387230752,26325489
2010-05-12,221.7355194091797,223.06639280674779,217.8657192093948,220.32273412450212,15294301
2010-05-13,219.45252990722656,223.87515658709722,217.4459689414643,217.4459689414643,11947698
2010-05-14,213.6887969970703,219.28875201025858,211.91769325284824,218.61306433460118,18161695
2010-05-17,208.1400146484375,211.85625561571985,206.59414478734567,211.85625561571985,20611809
2010-05-18,208.96926879882812,211.6003174717347,206.3484437355556,208.8464214680918,15445191
2010-05-19,204.4749755859375,208.3857248554329,203.748101562252,208.23215202810488,26097480
2010-05-20,204.7411346435547,207.4131458922038,203.47167131833777,204.95613112398257,18577281
2010-05-21,203.84022521972656,204.7206583516813,199.85781524045865,202.68338561690246,19167407
2010-05-24,209.38902282714844,214.77398147973042,208.11955933312416,208.43692862361226,24726303
2010-05-25,201.813232421875,209.87020324174708,201.21945657989951,209.87020324174708,25245934
2010-05-26,206.39968872070312,206.79894263250645,202.908666968929,203.70720212839626,13726569
2010-05-27,209.30712890625,210.42301958308738,205.0790099331974,207.00367293614352,27405100
2010-05-28,212.25555419921875,212.73671996609212,207.72030305541065,210.88371784950527,17535288
2010-05-31,214.08807373046875,214.68184954078697,210.63800159419054,210.92465905499674,16548811
2010-06-01,206.91152954101562,213.965205411444,205.59087967945624,213.61713796055736,19466130
2010-06-02,207.01393127441406,209.05120454654963,205.43734924316675,207.82270368280075,19728249
2010-06-03,211.0577392578125,212.53194830841485,208.82595795966722,208.82595795966722,17106958
2010-06-04,211.13963317871094,212.12243912879103,209.34805499148666,211.09867040185796,14088022
2010-06-07,206.33822631835938,207.82268637934763,204.7514071398326,207.82268637934763,13503377
2010-06-08,204.01429748535156,207.35174577190014,203.7481145907753,206.73748175916342,15226706
2010-06-09,206.19488525390625,207.82266706325422,204.75138810919944,204.79233721958028,15242486
2010-06-10,207.8943328857422,208.3243122227601,206.21536464901246,206.7989031535626,13962908
2010-06-11,214.2518768310547,215.16302196540008,209.0511889374132,209.87019856404635,23307069
2010-06-14,217.75308227539062,219.08396926011878,214.80466455619143,215.9922296660481,15892958
2010-06-15,218.2854766845703,219.06353720638845,215.00946547295345,218.10120566684287,18992836
2010-06-16,216.61671447753906,219.6265558193285,216.03317604073106,219.08396648910872,11833071
2010-06-17,219.3706817626953,220.51728438543637,216.68843256616182,217.71218783673697,21047804
2010-06-18,215.87962341308594,223.13807192150352,215.10157664721774,221.1724462818056,38277934
2010-06-21,218.19332885742188,219.43208052155276,217.2412346503902,217.2412346503902,11792906
